CD,AlternativeName,gene_name,gene_synonym
CD1a,R4|T6,CD1A,CD1
CD1b,R1|T6,CD1B,CD1
CD1c,M241|R7|T6,CD1C,CD1
CD1d,R3G1,CD1D,
CD1e,cR2,CD1E,
CD2,E-rosetteR|ErythrocyteR|T11|LFA-2,CD2,SRBC
CD3,T3,SLC25A5,ANT2|2F1|T2|T3
CD3d,dPolypeptide(TiT3complex),CD3D,T3D
CD3e,T3e,CD3E,
CD3g,T3G,CD3G,
CD4,L3T4|W3/25|T4,CD4,
CD5,T1|Tp67|Leu-1|Ly-1,CD5,LEU1|T1
CD6,T12|TP120,CD6,Tp120
CD7,gp40|TP41,CD7,TP41|LEU-9|GP40|Tp40
CD8a,Leu2|T8|Lyt2|3,CD8A,CD8
CD8b,CD8|Leu2|Lyt3,CD8B,CD8B1
CD9,p24|DRAP-1|MRP-1,CD9,MIC3|TSPAN29|BA2|P24|MRP-1
CD10,CALLA|NEP|gp100|EC3.4.24.11|MME,MME,NEP|CD10|CALLA
CD11a,LFA-1a|IntegrinaL,ITGAL,CD11A|LFA-1
CD11b,IntegrinaM|CR3|Mo1|C3niR|Mac-1,ITGAM,CR3A|MAC-1|CD11B
CD11c,IntegrinaX|p150|95|AXb2|CR4,ITGAX,CD11C
CD11d,IntegrinaD|ITGAD|ADB2,ITGAD,ADB2|CD11d
CDw12,p90-120,,
CD13,ANPEP|AminopeptidaseN|AAP|APM|LAP1|P150|PEPN|APN|gp150|EC3.4.11.2,ANPEP,CD13|p150|gp150|PEPN|LAP1
CD14,LPS-Receptor,CD14,
CD15,X-Hapten|LewisX|SSEA-1|3-FAL|FUT4,FUT4,CD15|FCT3A|ELFT|FUC-TIV
CD16,FCRIIIA|CD16a,FCGR3A,CD16a|CD16|FCG3|FCGR3
CD16b,FCRIIIB,FCGR3B,FCGR3|CD16|FCG3|CD16b
CD17,Lactosylceramide|LacCer,,
CD18,Integrinb2|CD11a|b|cb-subunit,ITGB2,CD18|LFA-1|MFI7|MAC-1
CD19,B4,CD19,
CD20,B1|Bp35,MS4A1,B1|CD20|MS4A2|Bp35
CD21,CR2|EBV-R|C3dR,CR2,C3DR|CD21
CD22,BL-CAM|Siglec-2,CD22,SIGLEC-2|SIGLEC2
CD23,FceRII|B6|BLAST-2|Leu-20,FCER2,CD23A|CLEC4J|CD23|FCE2
CD24,BBA-1|HSA,CD24,CD24A
CD25,Tacantigen|IL-2Ra|p55|TCGFR,ISG20,CD25|HEM45
CD26,DPPIVectoenzyme|ADAbindingprotein|ADCP2|TP103,DPP4,DPPIV|ADCP2|CD26
CD27,T14|S152|TP55|TNFRSF7,CD27,S152|Tp55|TNFRSF7
CD28,Tp44|T44,CD28,
CD29,PlateletGPIIa|Integrinb1|GP,ITGB1,GPIIA|MSK12|MDF2|CD29|FNRB
