gene_name,gene_synonym
Gm24346,nan
Prss29,mISP-2|Isp2
Ints6l,Ddx26b|6330505F04Rik|4930535D10Rik
Mir7011,mmu-mir-7011
Pdk4,nan
Rpn2,Rpn-2|1300012C06Rik
Nr3c1,Grl1|glucocorticoid receptor|GR|Grl-1
Ppm1g,Fin13
Chst11,chondroitin 4|C4ST1|C4ST|1110020P09Rik|C4ST-1
Gm15494,nan
2610316D01Rik,nan
Gm43601,nan
Gm22497,nan
2310057J18Rik,nan
Gm3326,nan
Gm21720,nan
Gm29151,nan
Gm28298,nan
Gm24509,nan
Gm22035,nan
F9,Cf-9|Cf9
Tmem248,G430067H08Rik|0610007L01Rik|A930023A16Rik
Pate14,A630095E13Rik|LOC235973|Sslp-1
Gm48113,nan
Supt5,Spt5|Supt5h
Gm29946,nan
Gm25814,nan
Stk11ip,1200014D22Rik|LKB1IP|LIP1
Gm11532,nan
Ly6g2,BC025446
Frmd7,EG665849|LOC385354
4930408K08Rik,nan
Mettl21a,2310038H17Rik|Fam119a
Tinag,TIN-ag
Gm8291,nan
Gm49888,nan
Gm48302,nan
Gm7847,nan
Gm10548,nan
Mir804,mmu-mir-804|Mirn804
Skap1,Skap-55|1700091G21Rik
Gm26554,nan
Mir6375,mmu-mir-6375
Gm6503,nan
Pck2,1810010O14Rik|9130022B02Rik
Gm14304,nan
Mir6392,mmu-mir-6392
Snapc4,5730436L13Rik
AL772407.1,nan
Gm50203,nan
Gm35453,nan
Gm13448,nan
Adamts1,ADAMTS-1|ADAM-TS1|METH-1|METH1
Kcnc4,Kv3.4|Kcr2-4
Gm21960,nan
1700031M16Rik,nan
Plekha7,A430081P20Rik
Prdm11,8030443D09Rik
Igsf23,2210010C17Rik
Dhrs7c,1110001P11Rik
Gm37754,nan
Gm13272,nan
Mex3b,Rkhd3|4931439A04Rik
Gm29320,nan
Gm527,LOC217648
Ccdc42os,4930535C22Rik
Nrg4,nan
Ptpn4,hPTP-MEG|TEP|TEP/mPTPMEG|testis-enriched phosphatase|protein tyrosine phosphatase|non-receptor type 4 (megakaryocyte)|PTPMEG
Gm48353,nan
Gm26189,nan
A830021F12Rik,nan
Gm48394,nan
Tbc1d15,4432405K22Rik|Ly6dl
Vps37c,5730409F24Rik
Vmn1r247,Gm4175
Gm8202,nan
Gm7739,nan
Gm46348,nan
Arl4aos,Gm4547|4930555J06Rik
Gm10817,nan
Gm14641,nan
Ptprm,RPTPmu
Olfr813,GA_x6K02T2PULF-11535078-11536010|MOR108-3
B4galt6,nan
Gm14301,nan
Gar1,C430047J18Rik|Nola1|GAR1
Gm37123,nan
Slc45a4,9330175B01Rik
Gm21846,nan
Gm41836,nan
Tmem63c,9330187M14Rik
Mir343,mmu-mir-343|Mirn343
Tmprss7,LOC385645|matriptase-3|B230219I23Rik
1700001O22Rik,nan
Gm11940,nan
Gm8995,nan
Cemip,9930013L23Rik|12H19.01.T7|6330404C01Rik
Gm47630,nan
Mir15b,Mirn15b|mmu-mir-15b
C130032M10Rik,nan
Gm12960,nan
Gm25894,nan
Igkv4-62,nan
C430014B12Rik,nan
Gm17030,nan
Gm42429,nan
Ldb1,CLIM2
Brsk1,SAD-B|LOC381979
Stk32a,YANK1|A930015B13Rik
Sbf1,B230113C15Rik|Mtmr5|2610510A08Rik
Gm47746,nan
Gm27854,nan
Gm11566,nan
Gm9169,nan
Zfp667,A830025F02Rik
Gm14150,nan
Gm22128,nan
Olfr1172-ps1,GA_x6K02T2Q125-49749096-49748308|MOR177-16_p
Gm23330,nan
Gm48045,nan
Gm3513,nan
Gm49196,nan
Gm17747,nan
Gm37637,nan
Gm21905,nan
