MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		chemokine activity			IDA		J:248456 	
MGI:1917295	2610528A11Rik	RIKEN cDNA 2610528A11 gene	14		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:1924977	6030468B19Rik	RIKEN cDNA 6030468B19 gene	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:102774	Aimp1	aminoacyl tRNA synthetase complex-interacting multifunctional protein 1	3		cytokine activity			IDA		J:127945 	
MGI:88068	Areg	amphiregulin	5		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:88176	Bmp1	bone morphogenetic protein 1	14		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		cytokine activity	is a part of cardiac jelly development,happens in atrioventricular canal,is a part of positive regulation of extracellular matrix constituent secretion,is a part of BMP signaling pathway|is a part of atrioventricular canal morphogenesis,is a part of BMP signaling pathway involved in heart development|is a part of endocardial cushion formation,is a part of BMP signaling pathway involved in heart development|is a part of epithelial to mesenchymal transition,happens in atrioventricular canal,is a part of BMP signaling pathway involved in heart development		IMP		J:110615 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		cytokine activity			TAS		J:36213 	
MGI:88179	Bmp3	bone morphogenetic protein 3	5		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		cytokine activity			ISO	P12644 	J:73065 	
MGI:88181	Bmp5	bone morphogenetic protein 5	9		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:88182	Bmp6	bone morphogenetic protein 6	13		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		cytokine activity			TAS		J:30057 	
MGI:104515	Bmp8a	bone morphogenetic protein 8a	4		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:104515	Bmp8a	bone morphogenetic protein 8a	4		cytokine activity			TAS		J:46927 	
MGI:107335	Bmp8b	bone morphogenetic protein 8b	4		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:107335	Bmp8b	bone morphogenetic protein 8b	4		cytokine activity			TAS		J:34057 	
MGI:1338820	Bmp10	bone morphogenetic protein 10	6		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:1316745	Bmp15	bone morphogenetic protein 15	X		cytokine activity			IBA	PTN000218063 	J:265628 	
MGI:1914695	C1qtnf4	C1q and tumor necrosis factor related protein 4	2		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:98258	Ccl1	chemokine (C-C motif) ligand 1	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:98258	Ccl1	chemokine (C-C motif) ligand 1	11		chemokine activity			ISO	P22362 	J:164563 	
MGI:98258	Ccl1	chemokine (C-C motif) ligand 1	11		cytokine activity			IDA		J:48580 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		chemokine activity			ISO	RGD:3645 	J:155856 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		chemokine activity			ISO	Q99616 	J:164563 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		cytokine activity			IDA		J:193599 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		chemokine activity			IDA		J:29873 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		chemokine activity			ISO	RGD:3647 	J:155856 	
MGI:98260	Ccl3	chemokine (C-C motif) ligand 3	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	11		chemokine activity			ISO	RGD:620441 	J:155856 	
MGI:98261	Ccl4	chemokine (C-C motif) ligand 4	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		chemokine activity			ISO	RGD:69069 	J:155856 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		chemokine activity			ISO	P13501 	J:164563 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:98263	Ccl6	chemokine (C-C motif) ligand 6	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:98263	Ccl6	chemokine (C-C motif) ligand 6	11		chemokine activity			ISO	RGD:1303200 	J:155856 	
MGI:98263	Ccl6	chemokine (C-C motif) ligand 6	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:99512	Ccl7	chemokine (C-C motif) ligand 7	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:99512	Ccl7	chemokine (C-C motif) ligand 7	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:101878	Ccl8	chemokine (C-C motif) ligand 8	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:101878	Ccl8	chemokine (C-C motif) ligand 8	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:104533	Ccl9	chemokine (C-C motif) ligand 9	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:104533	Ccl9	chemokine (C-C motif) ligand 9	11		cytokine activity			IEA	KW-0202 	J:60000 	
MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	11		chemokine activity			IBA	PTN000245709 	J:265628 	
MGI:103576	Ccl11	chemokine (C-C motif) ligand 11	11		chemokine activity			ISO	RGD:3644 	J:155856 	
