CD,Alternative Name
CD1d,CD1.1; CD1.2; Ly-38
CD2,LFA-2; Ly-37; Ly37
CD3γ,CD3γ; CD3 γ chain; T3γ
CD3δ,CD3δ; CD3 δ chain; T3δ
CD3ε,CD3ε; CD3 ε chain; CD3; T3ε
CD4,L3T4; Ly-4
CD5,Ly-1; Lyt-1; Ly-12; Ly-A
CD5.1,Ly-1.1
CD6,T12
CD7,gp40
CD8a,Ly-2; Lyt-2; Ly-B; Ly-35
CD8b,Ly-3; Lyt-3; Ly-C; CD8b1
CD8b.2,Ly-3.2; Lyt-3.2
CD9,Tspan29
CD10,CALLA; MME; NEP
CD11a,Ly-15; Ly-21; Integrin αL
CD11b,Integrin αM; Ly-40; CR3; CR3A; MAC1
CD11c,ITGAx [Integrin αx]; CR4 [complement recep- tor-4]; iC3b receptor; Leu M5; p150;95; CD18/ CD11c
CD13,Aminopeptidase N; gp150
CD14,Mo2; LPS Receptor
CD15,SSEA-1; FAL; Lewis x
CD16,FcgRIII; Fc gRIIIa; Ly-17; FCGR3; IGFR3
CD18,Integrin β2
CD19,B4
CD20,Ly-44; B1
CD21,CR2/CR1
CD22.2,Lyb-8.2; Siglec-2
CD23,FceRII; Ly-42
CD24,Heat Stable Antigen; Ly-52; Nectadrin
CD25,Ly-43; IL-2 Receptor α chain; p55
CD26,Dipeptidyl peptidase; DPP IV; THAM
CD27,T14; s152; tnfrs7; Tp55
CD28,T90/44 antigen or Tp44
CD29,Integrin β1; VLAb; gpIIa
CD30,Ki-1
CD31,PECAM-1; gpIIa; endoCAM; platelet endothe- lial cell adhesion molecule; PECA1
CD32,FcgRII; Ly-17; Ly-m20; Fc-γ receptor 2; Low affinity immunoglobulin γ Fc receptor II
CD33,gp67; SIGLEC-3; Sialic acid-binding Ig-like lectin 3; myeloid cell surface antigen CD33
CD34,Mucosialin
CD35,CR1; C3b receptor
CD36,Scavenger receptor; FAT; GPIV; Scarb3
CD37,gp52-40; Leukocyte antigen CD37; Tet- raspanin-26; TSPAN26
CD38,ADP-ribosyl cyclase; T10; Cyclic ADP-ribose hydrolase 1
CD39,NTPDase-1; Ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1); ATPdehy- drogenase; NTPdehydrogenase-1
CD40,gp39 receptor; Bp50; MGC9013; TNFRSF5; Tumor necrosis factor receptor superfamily member 5
CD41,GPIIb; Integrin αIIb; Platelet membrane glycoprotein IIb; ITGA2B; Integrin α2b; Human Platelet Antigen-3 (HPA-3)
CD42a,GPIX; GP9; Platelet glycoprotein IX
CD42b,GPIbα; Platelet glycoprotein Ib α
CD42c,GPIbβ; Platelet glycoprotein Ib β
CD42d,GPV; Platelet glycoprotein V
CD43,Ly-48; Sialophorin; Leukosialin; Galactoglyco- protein; SPN
CD44,Ly-24; ECMRII; H-CAM; Pgp-1; Phagocytic glycoprotein I; Extracellular matrix receptor III; GP90 lymphocyte homing/adhesion receptor; Hyaluronate receptor
CD45,Leukocyte Common Antigen (LCA)
CD45.1,Ly-5.1; Ly-5a; PTPRCa
CD45.2,Ly-5.2; Ly-5b; PTPRCb
CD45R,B220; Ly-5; Lyt-4; T200; Protein tyrosine phosphatase receptor type C (PTPRC)
CD45RA,
CD45RB,
CD45RC,Protein tyrosine phosphatase receptor type C (PTPRC)
CD45RO,
CD46,Membrane Cofactor Protein (MCP); Tropho- blast leukocyte common antigen; TRA2.10
CD47,Integrin-associated protein (IAP); OA3; Neuro- philin; MER6; gp42
CD48,Blast-1; Hulym3; BCM-1; OX-45; MEM-102
CD49a,VLA-1α; Integrin α1
CD49b,VLA-2α; Integrin α2; gPIa
CD49c,VLA-3α; Integrin α3; GAPB3; Galactoprotein B3; MSK18; Very Common Antigen-2 (VCA-2)
CD49d,VLA-4α; Integrin α4
CD49e,VLA-5α; Integrin α5; Fibronectin receptor
CD49f,VLA-6α; Integrin α6; gpI
CD51,Integrin αv; VNR-α; Vitronectin-Rα
CD52,CAMPATH-1; HE5; Epididymal secretory protein E52; CLS1; MB7; B7
CD53,MOX44; TSPAN25; Tetraspanin-25
CD54,ICAM-1; Ly-47; MALA-2
CD55,Decay accelerating factor (DAF); complement- glycosylphosphatidylinositol; Cromer blood group; Daf-GPI; Daf1; GPI-DAF
CD56,Leu-19; NKH-1; Neural Cell Adhesion Molecule (NCAM)
CD59,1F5Ag; H19; protectin; MACIF; MIRL; P-18
CD61,GP IIIa; Integrin β3
CD62E,E-Selectin; ELAM-1; LECAM-2
CD62L,L-Selectin; LECAM-1; Lnhr; Ly-22; Ly-m22; Lyam-1; Lyam1
CD62P,P-Selectin; GMP-140; PADGEM
CD63,"LIMP; MLA1; gp55; NGA; LAMP-3; ME491;
OMA81H; TSPAN30; granulophysin; melanoma 1 antigen"
CD64,FcγRI; Fc-γ receptor 1; High affinity immuno- globulin γ Fc receptor I; FcγRIA
CD66a,BGP; CEA-1
CD66b,CGM6; CEA-3
CD68,Macrosiali lysosomal glycoprotein 110
CD69,Very Early Activation Antigen
CD70,CD27 Ligand
CD71,Transferrin Receptor
CD72,Lyb-2; Ly-m19
CD73,NT; Ecto-5’-nucleotidase
CD74,Ia-associated invariant chain (Ii)
CD77,Pk blood group antigen; BLA; CTH; Gb3; α-1;4- Galactosyltransferase; Gb3 synthase; A4galt
CD79a,Iga; mb-1; Ly-54
CD79b,Igb; B29
CD80,B7/BB1; B7-1; Ly-53
CD81,TAPA-1
CD82,C33 Ag; KAI1
CD83,HB15
CD84,GR6
CD86,B7-2; B70; Ly-58
CD87,uPA Receptor
CD88,C5a Ligand; C5aR
CD90,Thy-1; q; T25
CD90.1,Thy-1.1; q-AKR
CD90.2,Thy-1.2; q-C3H
CD90.2,LRP; A2MR; AI316852; α 2-Macroglobulin receptor
CD93,AA4.1; C1qRp
CD94,KP43; klrd1
CD95,Fas; APO-1
CD96,Tactile
CD97,TM7LN1; TM7S
CD98,4F2; Ly-10; RL-388
CD99,Paired immunoglobin-like type 2 receptor- ligand
CD100,Semaphorin H; coll-4; Semaphorin 4D; Sema 4D
CD101,IGSF2; V7
CD102,ICAM-2; Ly-60
CD103,Integrin aIEL
CD104,Integrin β4
CD105,Endoglin
CD106,VCAM-1
CD107a,LAMP-1
CD107b,LAMP-2; LGP-96; LAMP-B
CD108,Sema7a
CD110,Thrombopoietin; Receptor; c-mpl
CD111,PRR1; Nectin-1; CD111; CLPED1; ED4; HIgR; HVEC; MGC142031; MGC16207; OFC7; PRR; PVRR; PVRR1; SK-12
CD112,PRR2; Nectin-2; PVRL2; HVEB; MPH; Pvr; Pvs; CD112; AI325026; AI987993; Nectin-2; Pvrl2
CD113,PVRL3; Nectin-3
CD114,G-CSF Receptor; CSF3R; HG-CSFR; Granulocyte colony-stimulating factor receptor; G-CSFR
CD115,M-CSF Receptor; CSF-1R; c-fms; Fim-2
CD116,GM-CSF Receptor α chain
CD117,c-kit; Steel factor receptor; Dominant white spotting
CD118,IFN-α/β Receptor; Type I IFN-R; IFN-α Receptor
CD119,IFN-γ Receptor α chain
CD120a,TNFR1; TNF-R55
CD120b,TNFR2; TNF-R75
CD121a,IL-1 Receptor; Type I
CD121b,IL-1 Receptor; Type II
CD122,IL-2 and IL-15 Receptor b chain
CD123,IL-3 Receptor α chain
CD124,IL-4 Receptor α chain
CD125,IL-5 Receptor α chain
CD126,IL-6 Receptor α chain
CD127,IL-7 Receptor α chain
CD130,gp130; Common β chain
CD131,AIC2A and AIC2B; bIL-2 and bc
CD132,Common γ chain
CD133,AC133; Prominin-1 (PROM1)
CD134,Ly-70; OX-40 antigen; ACT35 antigen
CD135,Flk-2; Flt3; Ly-72
CD136,STK; Mst1r; RON; MSP Receptor
CD137,4-1BB; Ly-63; Tnfrsf9
CD138,Syndecan-1; Sdc1
CD140a,PDGF Receptor α chain; PDGFR-α
CD140b,PDGF Receptor β chain; PDGFR-β
CD141,Thrombomodulin; TM
CD142,Tissue Factor; Coagulation Factor III
CD143,Angiotensin converting enzyme; Dipeptidyl peptidase; ACE
CD144,VE-Cadherin; Cdh5; 7B4; VECD
CD146,MUC18; S-endo; Mcam
CD147,Basigin; HT7; Neurothelin; gp42; Neurothelin
CD148,PTPb2; ByP; Scc-1; RPTPJ
CD150,IPO-3; ESTM51; Slam
CD151,SFA-1; PETA-3; Tspan24
CD152,CTLA-4; Ly-56
CD153,CD30 Ligand
CD154,"gp39; CD40 Ligand; Ly-62; HIGM1; IMD3;
T-BAM; Tnfsf5"
CD155,Polio virus receptor (pvr); Tage4
CD156a,MS2; ADAM 8
CD156b,TACE; ADAM17
CD156c,ADAM10; Kuz; Kubanian; Madm
CD157,Ly-65; BP-3; BST-1
CD159a,NKG2A; NKG2B
CD159c,NKG2C; KLRC2
CD160,BY55
CD161a,NKR-P1A; Ly55a
CD161b,NKR-P1B; Ly55b; Ly55d
CD161c,NKR-P1C; NK-1.1; Ly-55c; Ly-59
