CD,AlternativeName
CD1d,CD1.1|CD1.2|Ly-38
CD2,LFA-2|Ly-37|Ly37
CD3γ,CD3g|CD3gchain|T3g
CD3δ,CD3d|CD3dchain|T3d
CD3ε,CD3ε|CD3εchain|CD3|T3ε
CD4,L3T4|Ly-4
CD5,Ly-1|Lyt-1|Ly-12|Ly-A
CD5.1,Ly-1.1
CD6,T12
CD7,gp40
CD8a,Ly-2|Lyt-2|Ly-B|Ly-35
CD8b,Ly-3|Lyt-3|Ly-C|CD8b1
CD8b.2,Ly-3.2|Lyt-3.2
CD9,Tspan29
CD10,CALLA|MME|NEP
CD11a,Ly-15|Ly-21|IntegrinaL
CD11b,IntegrinaM|Ly-40|CR3|CR3A|MAC1
CD11c,ITGAx[Integrinax]|CR4[complementrecep-tor-4]|iC3breceptor|LeuM5|p150|95|CD18/CD11c
CD13,AminopeptidaseN|gp150
CD14,Mo2|LPSReceptor
CD15,SSEA-1|FAL|Lewisx
CD16,FcgRIII|FcgRIIIa|Ly-17|FCGR3|IGFR3
CD18,Integrinb2
CD19,B4
CD20,Ly-44|B1
CD21,CR2/CR1
CD22.2,Lyb-8.2|Siglec-2
CD23,FceRII|Ly-42
CD24,HeatStableAntigen|Ly-52|Nectadrin
CD25,Ly-43|IL-2Receptorachain|p55
CD26,Dipeptidylpeptidase|DPPIV|THAM
CD27,T14|s152|tnfrs7|Tp55
CD28,T90/44antigenorTp44
CD29,Integrinb1|VLAb|gpIIa
CD30,Ki-1
CD31,PECAM-1|gpIIa|endoCAM|plateletendothe-lialcelladhesionmolecule|PECA1
CD32,FcgRII|Ly-17|Ly-m20|Fc-greceptor2|LowaffinityimmunoglobulingFcreceptorII
CD33,gp67|SIGLEC-3|Sialicacid-bindingIg-likelectin3|myeloidcellsurfaceantigenCD33
CD34,Mucosialin
CD35,CR1|C3breceptor
CD36,Scavengerreceptor|FAT|GPIV|Scarb3
CD37,gp52-40|LeukocyteantigenCD37|Tet-raspanin-26|TSPAN26
CD38,ADP-ribosylcyclase|T10|CyclicADP-ribosehydrolase1
CD39,NTPDase-1|Ectonucleosidetriphosphatediphosphohydrolase1(ENTPD1)|ATPdehy-drogenase|NTPdehydrogenase-1
CD40,gp39receptor|Bp50|MGC9013|TNFRSF5|Tumornecrosisfactorreceptorsuperfamilymember5
CD41,GPIIb|IntegrinaIIb|PlateletmembraneglycoproteinIIb|ITGA2B|Integrina2b|HumanPlateletAntigen-3(HPA-3)
CD42a,GPIX|GP9|PlateletglycoproteinIX
CD42b,GPIba|PlateletglycoproteinIba
CD42c,GPIbb|PlateletglycoproteinIbb
CD42d,GPV|PlateletglycoproteinV
CD43,Ly-48|Sialophorin|Leukosialin|Galactoglyco-protein|SPN
CD44,Ly-24|ECMRII|H-CAM|Pgp-1|PhagocyticglycoproteinI|ExtracellularmatrixreceptorIII|GP90lymphocytehoming/adhesionreceptor|Hyaluronatereceptor
CD45,LeukocyteCommonAntigen(LCA)
CD45.1,Ly-5.1|Ly-5a|PTPRCa
CD45.2,Ly-5.2|Ly-5b|PTPRCb
CD45R,B220|Ly-5|Lyt-4|T200|ProteintyrosinephosphatasereceptortypeC(PTPRC)
CD45RA,
CD45RB,
CD45RC,ProteintyrosinephosphatasereceptortypeC(PTPRC)
CD45RO,
CD46,MembraneCofactorProtein(MCP)|Tropho-blastleukocytecommonantigen|TRA2.10
CD47,Integrin-associatedprotein(IAP)|OA3|Neuro-philin|MER6|gp42
CD48,Blast-1|Hulym3|BCM-1|OX-45|MEM-102
CD49a,VLA-1a|Integrina1
CD49b,VLA-2a|Integrina2|gPIa
CD49c,VLA-3a|Integrina3|GAPB3|GalactoproteinB3|MSK18|VeryCommonAntigen-2(VCA-2)
CD49d,VLA-4a|Integrina4
CD49e,VLA-5a|Integrina5|Fibronectinreceptor
CD49f,VLA-6a|Integrina6|gpI
CD51,Integrinav|VNR-a|Vitronectin-Ra
CD52,CAMPATH-1|HE5|EpididymalsecretoryproteinE52|CLS1|MB7|B7
CD53,MOX44|TSPAN25|Tetraspanin-25
CD54,ICAM-1|Ly-47|MALA-2
CD55,Decayacceleratingfactor(DAF)|complement-glycosylphosphatidylinositol|Cromerbloodgroup|Daf-GPI|Daf1|GPI-DAF
CD56,Leu-19|NKH-1|NeuralCellAdhesionMolecule(NCAM)
CD59,1F5Ag|H19|protectin|MACIF|MIRL|P-18
CD61,GPIIIa|Integrinb3
CD62E,E-Selectin|ELAM-1|LECAM-2
CD62L,L-Selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1
CD62P,P-Selectin|GMP-140|PADGEM
CD63,LIMP|MLA1|gp55|NGA|LAMP-3|ME491|OMA81H|TSPAN30|granulophysin|melanoma1antigen
CD64,FcgRI|Fc-greceptor1|Highaffinityimmuno-globulingFcreceptorI|FcgRIA
CD66a,BGP|CEA-1
CD66b,CGM6|CEA-3
CD68,Macrosialilysosomalglycoprotein110
CD69,VeryEarlyActivationAntigen
CD70,CD27Ligand
CD71,TransferrinReceptor
CD72,Lyb-2|Ly-m19
CD73,NT|Ecto-5’-nucleotidase
CD74,Ia-associatedinvariantchain(Ii)
CD77,Pkbloodgroupantigen|BLA|CTH|Gb3|a-1|4-Galactosyltransferase|Gb3synthase|A4galt
CD79a,Iga|mb-1|Ly-54
CD79b,Igb|B29
CD80,B7/BB1|B7-1|Ly-53
CD81,TAPA-1
CD82,C33Ag|KAI1
CD83,HB15
CD84,GR6
CD86,B7-2|B70|Ly-58
CD87,uPAReceptor
CD88,C5aLigand|C5aR
CD90,Thy-1|q|T25
CD90.1,Thy-1.1|q-AKR
CD90.2,Thy-1.2|q-C3H
CD90.2,LRP|A2MR|AI316852|a2-Macroglobulinreceptor
CD93,AA4.1|C1qRp
CD94,KP43|klrd1
CD95,Fas|APO-1
CD96,Tactile
CD97,TM7LN1|TM7S
CD98,4F2|Ly-10|RL-388
CD99,Pairedimmunoglobin-liketype2receptor-ligand
CD100,SemaphorinH|coll-4|Semaphorin4D|Sema4D
CD101,IGSF2|V7
CD102,ICAM-2|Ly-60
CD103,IntegrinaIEL
CD104,Integrinb4
CD105,Endoglin
CD106,VCAM-1
CD107a,LAMP-1
CD107b,LAMP-2|LGP-96|LAMP-B
CD108,Sema7a
CD110,Thrombopoietin|Receptor|c-mpl
CD111,PRR1|Nectin-1|CD111|CLPED1|ED4|HIgR|HVEC|MGC142031|MGC16207|OFC7|PRR|PVRR|PVRR1|SK-12
CD112,PRR2|Nectin-2|PVRL2|HVEB|MPH|Pvr|Pvs|CD112|AI325026|AI987993|Nectin-2|Pvrl2
CD113,PVRL3|Nectin-3
CD114,G-CSFReceptor|CSF3R|HG-CSFR|Granulocytecolony-stimulatingfactorreceptor|G-CSFR
CD115,M-CSFReceptor|CSF-1R|c-fms|Fim-2
CD116,GM-CSFReceptorachain
CD117,c-kit|Steelfactorreceptor|Dominantwhitespotting
CD118,IFN-a/bReceptor|TypeIIFN-R|IFN-aReceptor
CD119,IFN-gReceptorachain
CD120a,TNFR1|TNF-R55
CD120b,TNFR2|TNF-R75
CD121a,IL-1Receptor|TypeI
CD121b,IL-1Receptor|TypeII
CD122,IL-2andIL-15Receptorbchain
CD123,IL-3Receptorachain
CD124,IL-4Receptorachain
CD125,IL-5Receptorachain
CD126,IL-6Receptorachain
CD127,IL-7Receptorachain
CD130,gp130|Commonbchain
CD131,AIC2AandAIC2B|bIL-2andbc
CD132,Commongchain
CD133,AC133|Prominin-1(PROM1)
CD134,Ly-70|OX-40antigen|ACT35antigen
CD135,Flk-2|Flt3|Ly-72
CD136,STK|Mst1r|RON|MSPReceptor
CD137,4-1BB|Ly-63|Tnfrsf9
CD138,Syndecan-1|Sdc1
CD140a,PDGFReceptorachain|PDGFR-a
CD140b,PDGFReceptorbchain|PDGFR-b
CD141,Thrombomodulin|TM
CD142,TissueFactor|CoagulationFactorIII
CD143,Angiotensinconvertingenzyme|Dipeptidylpeptidase|ACE
CD144,VE-Cadherin|Cdh5|7B4|VECD
CD146,MUC18|S-endo|Mcam
CD147,Basigin|HT7|Neurothelin|gp42|Neurothelin
CD148,PTPb2|ByP|Scc-1|RPTPJ
CD150,IPO-3|ESTM51|Slam
CD151,SFA-1|PETA-3|Tspan24
CD152,CTLA-4|Ly-56
CD153,CD30Ligand
CD154,gp39|CD40Ligand|Ly-62|HIGM1|IMD3|T-BAM|Tnfsf5
CD155,Poliovirusreceptor(pvr)|Tage4
CD156a,MS2|ADAM8
CD156b,TACE|ADAM17
CD156c,ADAM10|Kuz|Kubanian|Madm
CD157,Ly-65|BP-3|BST-1
CD159a,NKG2A|NKG2B
CD159c,NKG2C|KLRC2
CD160,BY55
CD161a,NKR-P1A|Ly55a
CD161b,NKR-P1B|Ly55b|Ly55d
CD161c,NKR-P1C|NK-1.1|Ly-55c|Ly-59
