gene_name,gene_synonym
AC002524.1,nan
AC024730.1,nan
MTCYBP43,nan
C12orf54,MGC35033
GALNT5,GalNAc-T5
AP006621.5,nan
AL358075.3,nan
RNU4-56P,nan
LINC02210-CRHR1,CRF1|CRF-R-1|CRF-R|CRH-R-1|CRH-R1|CRHR1L|CRF-R1|CRFR1|CRHR|CRFR-1
AP001931.2,nan
OSR1,ODD
FCER2,CD23A|CLEC4J|CD23|FCE2
AC027455.2,nan
AC008982.4,nan
AGGF1P7,nan
C2CD4A,NLF1|FAM148A
AC004898.1,nan
DUX4L18,DUXY2
LINC02355,nan
AC004840.1,nan
OR7E145P,nan
AP005597.2,nan
MIR623,hsa-mir-623|MIRN623
AC008635.1,nan
LINC01838,nan
LINC01428,nan
GZF1,ZBTB23|ZNF336|dJ322G13.2
MIR4297,hsa-mir-4297
AP000769.4,nan
CDR2,Yo|CDR62
MTND4P20,nan
F9,FIX
YWHAZ,YWHAD|14-3-3-zeta|KCIP-1
AP003086.2,nan
AL109920.2,nan
U2AF2,U2AF65
RPS17P13,nan
AC138832.1,nan
RN7SL487P,nan
ZBTB46-AS1,nan
H1-12P,H1F6P|dJ34B20.16|FLJ39701|HIST1H1PS1
PPIAP79,nan
DYNC1I2P1,nan
PAMR1,DKFZP586H2123|RAMP
AC073135.1,nan
RNA5SP272,RN5S272
PCED1CP,nan
CHEK2P4,nan
MYO9A,FLJ13244|MGC71859|FLJ11061
CATSPERZ,TEX40|DKFZP566E164|C11orf20
REXO1L12P,nan
ARHGEF11,PDZ-RHOGEF|GTRAP48|KIAA0380
NCAPD2P1,nan
MIR27B,hsa-mir-27b|MIRN27B|MIR-27b
LINC00499,nan
AL158071.2,nan
AC004554.1,nan
CBX3P7,nan
NT5DC3,TU12B1-TY|FLJ11266
HAGLROS,nan
RSL24D1P2,nan
AC231988.1,nan
C11orf16,nan
AC026355.2,nan
H3P32,nan
AC017006.2,nan
AC092368.3,nan
AC013270.1,nan
CDK5RAP2,CEP215|C48|FLJ10867|MCPH3
AL357874.2,nan
LDHAL6EP,nan
AC011899.2,nan
AC124276.1,nan
ALKBH1,hABH|ALKBH|ABH|alkB
AP001804.1,nan
FAM83E,FLJ20200
TFE3,bHLHe33|TFEA
AC008662.2,nan
ZSCAN5C,ZNF495C|ZSCAN5CP
AC115837.1,nan
GRAMD4,DIP|KIAA0767
EIF3J-DT,EIF3J-AS1
NAMPT,PBEF1|PBEF
AL356000.1,nan
RNU6-1249P,nan
SPINK7,ECG2|ECRG2
CDKN2AIPNLP2,nan
CNN2P6,nan
PPIE,MGC111222|CyP-33|MGC3736
AL050344.1,nan
PPP1R2B,MGC87149|PPP1R2P3
AP000769.6,nan
MTND1P10,nan
ACP7,PAPL1|PAPL|FLJ16165
MIR6511A4,hsa-mir-6511a-4
ZNF620,MGC50836
VIRMA,DKFZP434I116|KIAA1429|fSAP121
HNF4A,TCF14|MODY1|HNF4|MODY|NR2A1
AP001107.2,nan
AC241585.1,nan
AL159158.1,nan
TNFAIP8L2,FLJ23467
AC007322.4,nan
AC111000.1,nan
AC007359.1,nan
SLC35A5,FLJ20730
AL513185.2,nan
AC008972.2,nan
RNU6-761P,nan
LINC-PINT,LincRNA-Pint|MKLN1-AS1|FLJ43663|PINT
RNU6-533P,nan
FBXW9,MGC10870|Fbw9|MEC-15
AC006359.1,nan
RN7SL733P,nan
AC093732.1,nan
TRIM22,GPSTAF50|STAF50|RNF94
RBMX,RNMX|hnRNP-G|HNRNPG
BX546450.2,nan
INSL4,EPIL
PHKA2,PHK|PYK
AP003784.1,nan
MIR1273C,hsa-mir-1273c
NIPA2P3,nan
BX323043.1,nan
AP000942.3,nan
SPACA9,C9orf9|Mast
AC007954.1,nan
RNU6-239P,nan
AC115284.1,nan
AL133284.1,nan
IGKV2OR22-4,IGKV2/OR22-4|IGKVP6
AC002310.5,nan
PSAT1P3,nan
LARP6,FLJ11196|acheron
AC256234.1,nan
PCP4,PEP-19
ZC3HAV1L,C7orf39|MGC14289
AC104073.4,nan
GJB2,DFNA3|NSRD1|DFNB1|CX26
TNPO3,MTR10A|TRN-SR2|TRN-SR|IPO12|LGMD1F
SLC10A2,ISBT|ASBT
AC243960.1,nan
ERMAP,BTN5|SC|RD
AL354993.2,nan
RNU6-727P,nan
CDK8P2,nan
AC007679.6,nan
PRTN3,PR-3|P29|C-ANCA|AGP7|MBT|ACPA
LINC01640,nan
BTBD18,nan
AC093151.7,nan
EDAR,ED1R|ED5|EDA3|Edar|DL|EDA1R|ED3
C1QTNF9,MGC48915|AQL1|CTRP9|C1QTNF9A
LINC01473,nan
AC275546.1,nan
SNORD13P3,RNU13P3|U13.4B|U13
DMBT1P1,nan
OR1L1,OR9-C|OR1L2
Z94277.1,nan
ZNF580,nan
AC244635.2,nan
METTL21AP1,nan
NOP2,NOP120|p120|NSUN1|NOL1
AC008610.1,nan
LZTS3,ProSAPiP1|KIAA0552
AL034397.3,nan
MIR204,MIRN204|hsa-mir-204
AC100793.1,nan
FBXO46,Fbx46|20D7-FC4|FBXO34L
NAPA-AS1,nan
AC012588.1,nan
AL078601.3,nan
VPS11,PEP5|RNF108
RASSF3,nan
AC104828.1,nan
RNU6-895P,nan
MIR4700,hsa-mir-4700
AC254945.2,nan
IGKV1-33,IGKV133|O18
MMEL1,NEPII|MMEL2|SEP|NL2|NL1
OR51F2,nan
RNU4-7P,RNU4P1|U4/7|U4
GKN1,CA11|AMP18|BRICD1
AC069213.1,nan
ZNF579,FLJ35453
