Blank,Armenian Hamster IgG Isotype Ctrl,CD3ε,CD80,CD81,CD154,Notch 1,CD30,CD178,CD103,DLL4,CD195
Notch 4,CD229 (Ly-9),CD69,Notch 3,JAML,Notch 2,CD194,CD152,CD120a,CD11c,DLL1,CD196
CD29,CD55,Jagged 2,CD79b,"IFN-γ R
 chain",CD61,CD121a,"TCR β
chain",FcεRIα,CD16.2,CD36,"DcTRAIL
-R1"
CD84,CD48,CD49b,CD120b,CD183,CD262,HVEM,TCR Vγ1.1 + Vγ1.2,B7-H4,CD339,CD49a,PD-1H
CD85k,Plexin B2,CD27,DR3,TCR γ/δ,"Mouse IgG2a, κ Isotype Ctrl",CD45.1,CD45.2,NK-1.1,Ly108,CD207,CX3CR1
"Mouse IgG1, κ Isotype
Ctrl",CD66a,IFNAR-1,Tim-2,CD272,CD64,CD351,LAP,TIGIT,Trem- like 4,CD59a,Ly49H
CD90.1,"Mouse IgG2b, κ Isotype Ctrl",CD157,CD159a,XCR1,"Mouse IgM, κ Isotype Ctrl",SSEA-1,"Rat IgG1, κ Isotype Ctrl",Ig light chain κ,Siglec H,CD255,CD202b
"GITR
Ligand",CD147,CD73,CD51,NKG2D,CD96,Integrin β7,CD210,CD83,Mac-3,CD223,CD134
Blank,CD41,CD268,CD144,CD370,CD369,PIR-A/B,CD22,CD324,CD172a,CD319,"Rat IgG2a, κ Isotype Ctrl"
MAIR-V,CD146,VISTA,CD8a,CD275,CD34,Ly-6A/E,CD40,CD45R/ B220,CD197,CD47,CD98
CD14,CD107a,CD18,Ly-6G,"CD21,CD 35",Mac-2,CD199,Ly-51,IgD,Tim-4,CD71,H-2
CD45RB,CD326,IgM,CD155,CD200R,CD254,IL-21R,CD276,CD9,CD105,CD366,"4-1BB
Ligand"
CD265,"TLR4 (CD284)
/MD2
Complex",CD19,LPAM-1,CD62L,CD23,CD5,CD273,CD31,F4/80,CD94,CD267
Ly-49A,CD180,CD11a,LTR,CD122,CD106,CD365,CD115,CD140a,PDC- TREM,CD135,CD127
CD140b,ESAM,CD200,CD309,TLT-2,CD253,CD335,CD205,"Galectin
-9",CD200R 3,MAIR-IV,Ly49D
CD123,CD355,CD169,CD138,CD160,CD39,GARP,"CD179a
(VpreB)",CD371,CD63,CD49e,CD193
Blank,CD300L G,CD301,IL-33Rα,CD304,CD6,CD100,CD104,CD182,Mad CAM-1,"MERTK
(Mer)",CD226
Ly6K,CD16/3 2,CD150,CD25,CD38,CD133,CD301b,CD34,"Rat IgG2b, κ Isotype
Ctrl",CD43,FR4,CD1d
CD70,CD4,I-A/I-E,CD153,CD54,33D1,CD90.2,TER-119,CD49d,CD24,"Ly- 6G/Ly-
6C",CD86
CD11b,CD45,CD279,RAE-1γ,CD8b,CD44,CD126,CD317,CD132,CD3,CD274,CD117
CD88,CD93,CD252,MD-1,CD357,CD185,CD37,"CD300c/
d",CD186 (CXCR6),CD130,CD198,CD20
CD124,IL-23R,CD184,CD2,"Rat IgG2c,k
Isotype Ctrl",Ly-6C,Ly-6D,"Rat IgM, κ
Isotype Ctrl",CD49b,GL7,"Syrian Hamster IgG Isotype
Ctrl",CD28
Podopla nin,CD137,CD278,KLRG1,"Ly-49
C/F/I/H",Blank,Blank,Blank,Blank,Blank,Blank,Blank
Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank
Blank,Armenian Hamster IgG Isotype Ctrl,CD3ε,CD80,CD81,CD154,Notch 1,CD30,CD178,CD103,DLL4,CD195
Notch 4,CD229 (Ly-9),CD69,Notch 3,JAML,Notch 2,CD194,CD152,CD120a,CD11c,DLL1,CD196
CD29,CD55,Jagged 2,CD79b,"IFN-γ R
 chain",CD61,CD121a,"TCR β
chain",FcεRIα,CD16.2,CD36,"DcTRAIL
-R1"
CD84,CD48,CD49b,CD120b,CD183,CD262,HVEM,TCR Vγ1.1 + Vγ1.2,B7-H4,CD339,CD49a,PD-1H
CD85k,Plexin B2,CD27,DR3,TCR γ/δ,"Mouse IgG2a, κ Isotype Ctrl",CD45.1,CD45.2,NK-1.1,Ly108,CD207,CX3CR1
"Mouse IgG1, κ Isotype
Ctrl",CD66a,IFNAR-1,Tim-2,CD272,CD64,CD351,LAP,TIGIT,Trem- like 4,CD59a,Ly49H
CD90.1,"Mouse IgG2b, κ Isotype Ctrl",CD157,CD159a,XCR1,"Mouse IgM, κ Isotype Ctrl",SSEA-1,"Rat IgG1, κ Isotype Ctrl",Ig light chain κ,Siglec H,CD255,CD202b
"GITR
Ligand",CD147,CD73,CD51,NKG2D,CD96,Integrin β7,CD210,CD83,Mac-3,CD223,CD134
