CD,AlternativeName,gene_name,gene_synonym
Ly-49A,Ly49A,Klra1,Ly49A|Ly49o<129>
IFNAR-1,IFNAR1,Ifnar1,IFN-alpha/betaR|Ifrc|Ifar
MERTK,Mer,Mertk,Nyk|Mer|nmf12|Tyro 12|Eyk
Ly-49C,Ly49C,Klra3,NK-2.1|Ly49c|5E6|Nk2.1|Nk-2|Nk2
Ly-49F,Ly49F,Klra6,Ly49F
Ly-49I,Ly49I,Klra9,LY49I1|Ly49I
Ly-49H,Ly49H,Klra8,Cmv1|Ly49h|Ly49u<129>|Cmv-1
CD134,,Tnfrsf4,ACT35|Txgp1|Ox40|CD134
CD200R3,,Cd200r3,4733401I18Rik|4833409J19Rik|mCD200RLb
CD1d,,Cd1d1,CD1.1|Ly-38|Cd1d|Cd1a
PD-1H,PD1H,Vsir,Dies1|VISTA|4632428N05Rik|PD-1H
CD40,,Cd40,Tnfrsf5|Bp50|Cd40|p50
CD43,,Spn,leukosialin|Galgp|Ly-48|Cd43|3E8 antigen|Ly48|A630014B01Rik
CD37,,Cd37,Tspan26
CD49a,,Itga1,E130012M19Rik|Vla1|CD49A
CD137,,Tnfrsf9,A930040I11Rik|CDw137|4-1BB|Ly63|ILA|Cd137
CD115,,Csf1r,Fms|Fim2|CD115|CSF-1R|Fim-2|M-CSFR|Csfmr
Notch1,,Notch1,N1|Mis6|lin-12|9930111A19Rik|Motch A|Tan1
LAP,,Cebpb,NF-IL6|IL-6DBP|Nfil6|C/EBPbeta|LIP|NF-M|C/EBP BETA|LAP|CRP2
CD84,,Cd84,A130013D22Rik|CDw84|SLAMF5
VISTA,,Vsir,Dies1|VISTA|4632428N05Rik|PD-1H
CD100,,Sema4d,Semcl2|coll-4|CD100|Semacl2|M-sema G|Semaj|semaphorin H
CD207,,Cd207,Langerin
CD132,,Il2rg,common cytokine receptor gamma chain|gamma(c)|CD132|gc|gammaC|[g]c|common gamma chain|gamma C receptor
CD27,,Cd27,Cd27|Tnfrsf7|S152|Tp55
CD29,,Itgb1,beta1 integrin|4633401G24Rik|CD29|Fnrb|Gm9863
CD184,,Cxcr4,Cmkar4|fusin|PB-CKR|b2b220Clo|CD184|Sdf1r
CD205,,Ly75,DEC-205|CD205
CD160,,Cd160,By55
CD133,,Prom1,Prom-1|CD133|4932416E19Rik|AC133|Prom
CD80,,Cd80,Ly-53|Cd28l|B7.1|Ly53|B7-1
