CD,AlternativeName,gene_name,gene_synonym
CD298,,ATP1B3,FLJ29027|CD298
CD143,,ACE,DCP1|CD143|ACE1
CD90,Thy1,THY1,CD90
CD307,,,
CD163,,CD163,M130|SCARI1|MM130
CD24,,CD24,CD24A
TSLPR,TSLP-R,CRLF2,CRL2|TSLPR
CD184,CXCR4,CXCR4,HM89|fusin|NPY3R|NPYR|NPYY3R|LESTR|CD184|D2S201E|HSY3RR
CRTAM,,CRTAM,CD355
CD185,,CXCR5,MDR15|BLR1|CD185
MSC,W7C6,MSC,ABF-1|bHLHa22
CD49a,,ITGA1,CD49a|VLA1
CD27,,CD27,S152|Tp55|TNFRSF7
CD29,,ITGB1,GPIIA|MSK12|MDF2|CD29|FNRB
CD10,,MME,NEP|CD10|CALLA
CD263,DcR1|TRAIL-R3,TNFRSF10C,DcR1|LIT|TRAILR3|CD263|TRID
CD367,CLEC4A,CLEC4A,DCIR|CLECSF6|CD367|DDB27
CD180,RP105,CD180,LY64|Ly78|RP105
CD324,E-Cadherin,CDH1,UVO|CD324|uvomorulin
CD335,NKp46,NCR1,LY94|NK-p46|CD335|NKP46
CD191,,CCR1,CKR-1|CD191|MIP1aR|CMKBR1|SCYAR1
CD130,,IL6ST,sGP130|GP130|CD130
CD107b,LAMP-2,LAMP2,CD107b
NPC,57D2,,
MERTK,,MERTK,Tyro12|c-Eyk|mer|RP38
TRA-1-81,TRA181,,
CD146,,MCAM,CD146|HEMCAM|METCAM|MUC18|MelCAM
CD261,DR4|TRAIL-R1,TNFRSF10A,Apo2|TRAILR-1|CD261|TRAILR1|DR4
CD267,TACI,TNFRSF13B,CD267|TACI|IGAD2
CD226,DNAM-1,CD226,DNAM-1|TLiSA1|PTA1|DNAM1
GPR19,,GPR19,
CD99,,CD99,MIC2
CD1b,,CD1B,CD1
CD131,,CSF2RB,IL3RB|IL5RB|CD131|betaGMR
CD210,IL-10R,IL10RA,HIL-10R|IL10R|CD210|CDW210A|CD210a
CD279,PD-1,PDCD1,PD-1|hSLE1|PD1|SLEB2|CD279
CD26,,DPP4,DPPIV|ADCP2|CD26
CD147,,BSG,OK|CD147|EMPRIN|EMMPRIN
CD137,4-1BB,TNFRSF9,ILA|4-1BB|CD137
CD64,,FCGR1A,CD64A|CD64
CD97,,ADGRE5,TM7LN1|CD97
CD122,,IL2RB,IL15RB|CD122
CD300c,,CD300C,CMRF35A|LIR|CMRF35|IGSF16|CMRF-35A
SSEA-3,SSEA3,,
CD30,,TNFRSF8,D1S166E|CD30|KI-1
CD63,,CD63,ME491|TSPAN30|MLA1
CD85d,ILT4,LILRB2,LIR2|ILT4|MIR-10|LIR-2|MIR10|CD85d
Podoplanin,,,
HVEM,TR2,TNFRSF14,LIGHTR|HVEM|ATAR|CD270|HVEA|TR2
CD94,,KLRD1,CD94
CD165,,,
CD201,EPCR,PROCR,CCD41|EPCR|CD201
CD36L1,,SCARB1,CLA1|CLA-1|SR-BI|SRB1|CD36L1
CD44,,CD44,Pgp1|CSPG8|MC56|MIC4|HCELL|MDU2|IN|MDU3|CD44R
MUC-13,MUC13,MUC13,DRCC1
CD114,,CSF3R,CD114|GCSFR
CD6,,CD6,Tp120
CD164,,CD164,MGC-24|MUC-24|DFNA66
CD34,,CD34,
CD62P,P-Selectin,SELP,PADGEM|CD62P|PSEL|GMP140|CD62|GRMP
CD172a,SIRPa,SIRPA,SHPS-1|PTPNS1|SIRPalpha|SIRP|BIT|MYD-1|SHPS1|MFR|P84|CD172a|SIRP-ALPHA-1|SIRPalpha2
CD172b,SIRPb,SIRPB1,SIRP-BETA-1|CD172b
CD142,,F3,CD142|TF
CD49d,,ITGA4,CD49D
CD51,,ITGAV,MSK8|VTNR|VNRA|CD51
TMEM8A,,PGAP6,TMEM8|TMEM6|TMEM8A|M83
CD66a,,CEACAM1,CD66a|BGP|BGP1
CD66c,,CEACAM6,NCA|CD66c
CD66e,,CEACAM5,CD66e|CEA
CD158e1,KIR3DL1|NKB1,KIR3DL1,CD158e1/2|CD158E1|cl-11|cl-2|CD158e2|AMB11|nkat3|NKB1|NKB1B|KIR
CD14,,CD14,
CD86,,CD86,B7.2|B7-2|CD28LG2
CD269,,TNFRSF17,BCMA|CD269|BCM|TNFRSF13A
CD81,,CD81,TAPA-1|TSPAN28|TAPA1
CD196,,CCR6,CMKBR6|DRY-6|CD196|DCR2|GPR29|STRL22|BN-1|GPR-CY4|CKR-L3
GangliosideGD2,,,
CD88,,C5AR1,CD88|C5AR|C5R1|C5A
SSEA-5,SSEA5,,
CD7,,CD7,TP41|LEU-9|GP40|Tp40
CD294,,PTGDR2,DP2|GPR44|CRTH2|CD294
CD218a,IL-18Ra,IL18R1,IL-1Rrp|CD218a|IL1RRP
CCR10,,CCR10,GPR2
CD42b,,GP1BA,GPIbalpha|CD42b|GP1B
C3AR,,C3AR1,C3AR|AZ3B
TACSTD2,,TACSTD2,EGP-1|M1S1|GA733-1|TROP2
CD369,Dectin1|CLEC7A,CLEC7A,hDectin-1|SCARE2|CD369|dectin-1|CLECSF12
CD229,Ly-9,LY9,hly9|mLY9|SLAMF3|CD229
CD309,,KDR,VEGFR|CD309|FLK1|VEGFR2
VEGFR2,,KDR,VEGFR|CD309|FLK1|VEGFR2
integrinb5,,,
CD4,,CD4,
CD55,,CD55,DAF|TC|CROM|CR
HLA-E,HLAE,HLA-E,
CD45RB,,,
CD112,Nectin-2,NECTIN2,PVRR2|PVRL2|CD112|PRR2|HVEB
CD104,,ITGB4,CD104
CD18,,ITGB2,CD18|LFA-1|MFI7|MAC-1
CXCL16,,CXCL16,CXCLG16|SR-PSOX|SRPSOX
CD319,CRACC,SLAMF7,19A|CRACC|CS1|CD319
CD325,,CDH2,NCAD|CDHN|CD325
CD326,Ep-CAM,EPCAM,MK-1|CO-17A|M4S1|17-1A|TACST-1|EGP34|EGP40|MH99|TROP1|ESA|HEA125|KSA|EGP-2|CD326|Ly74|TACSTD1|KS1/4|323/A3|Ep-CAM|MIC18|MOC31|GA733-2
