CD,AlternativeName,gene_name,gene_synonym
CD146,,Mcam,1-gicerin|CD146|s-endo|Muc18|s-gicerin
CD71,,Tfrc,2610028K12Rik|E430033M20Rik|p90|CD71|Trfr|Mtvr-1|Mtvr1|TfR1
KLRG1,,Klrg1,2F1-Ag
SSEA-1,SSEA1,Fut4,3-fucosyl-N-acetyl-lactosamine epitope|Ssea1|SSEA-1|FAL|LeX|FucT-IV
Ly6K,,Ly6k,3110035B01Rik|mLy-6K|2410015A16Rik
CD200R3,,Cd200r3,4733401I18Rik|4833409J19Rik|mCD200RLb
CD319,CRACC|SLAMF7,Slamf7,4930560D03Rik|19A|19A24|novel Ly9|CS1
CD147,,Bsg,5A11/Basigin|EMMPRIN|gp 42|HT-7|CD147|neurothelin
CD276,,Cd276,6030411F23Rik|B7-H3|B7RP-2|B7h3
CD84,,Cd84,A130013D22Rik|CDw84|SLAMF5
CD253,TRAIL|APO-2L|TL2|Ly81|Trail|APO-2L|Tnfsf10,Tnfsf10,A330042I21Rik|Trail|APO-2L
CD137,,Tnfrsf9,A930040I11Rik|CDw137|4-1BB|Ly63|ILA|Cd137
CD134,,Tnfrsf4,ACT35|Txgp1|Ox40|CD134
CD103,,Itgae,alpha-E1|CD103
CD51,,Itgav,alphav-integrin|CD51|D430040G12Rik|vitronectin receptor alpha polypeptide  (VNRA)|2610028E01Rik|1110004F14Rik
JAML,,Jaml,Amica1|LOC270152
CD252,OX-40Ligand|gp34|TNFSF4,Tnfsf4,Ath-1|gp34|OX40L|TXGP1|Ath1|CD134L|Txgp1l
Tim-4,Tim4,Timd4,B430010N18Rik|TIM-4|Tim4
CD47,,Cd47,B430305P08Rik|Itgp|9130415E20Rik|IAP|integrin-associated protein
CD273,B7DC|PD-L2|Btdc|PD-L2|MGC124039|MGC124040|F730015O22Rik|Pdcd1lg2,Pdcd1lg2,B7-DC|Btdc|F730015O22Rik|PD-L2
B7-H4,B7H4,Vtcn1,B7x|B7-H4
CD268,BAFFR|Tnfrsf13c,Tnfrsf13c,BAFF-R|Lvis22|Bcmd-1|Baffr|Bcmd1|2010006P15Rik
CD29,,Itgb1,beta1 integrin|4633401G24Rik|CD29|Fnrb|Gm9863
CD48,,Cd48,BLAST-1|BCM1|Bcm-1|Sgp-60
CD185,CXCR5|BLR1|Gpcr6,Cxcr5,Blr1|Gpcr6|CXCR-5
CD186,CXCR6,Cxcr6,BONZO|STRL33
CD160,,Cd160,By55
CD1d,,Cd1d1,CD1.1|Ly-38|Cd1d|Cd1a
CD104,,Itgb4,CD104
CD105,,Eng,CD105|Endo
CD11c,,Itgax,Cd11c|CD11C  (p150) alpha polypeptide
CD121a,,Il1r1,CD121a|IL-iR|Il1r-1|IL-1 receptor alpha chain|IL-1R1
CD123,,Il3ra,CD123|SUT-1|IL-3 receptor alpha chain
CD127,,Il7r,CD127|IL-7 receptor alpha chain|IL-7Ralpha
CD182,CXCR2|IL8Rb|CDw128|Cmkar2|Gpcr16,Cxcr2,CD128|Cmkar2|IL-8rb|IL-8Rh|IL8RA|Il8rb|Gpcr16
CD140a,,Pdgfra,CD140a|Pdgfr-2
CD157,,Bst1,CD157|Bp3|Ly65|Bsta1|114/A10
CD16,,Fcgr3,CD16|Fcg receptor III|FcgammaRIII
CD178,,Fasl,CD178|Fas-L|CD95L|APT1LG1|Fasl|Tnfsf6
CD183,,Cxcr3,Cd183|Cxcr3|Cmkar3
CD195,,Ccr5,CD195|Cmkbr5
CD200R,,Cd200r1,CD200R|Mox2r|OX2R
CD202b,,Tek,Cd202b|Tie2|Hyk|tie-2
CD25,,Il2ra,CD25|Il2r|Ly-43|IL-2R alpha chain
CD27,,Cd27,Cd27|Tnfrsf7|S152|Tp55
CD30,,Tnfrsf8,CD30
CD300d,,Cd300c2,Cd300d|AF251705|DIgR1|Igsf7|Clm4|LMIR2|MAIR-II
CD301b,,Mgl2,CD301b
CD153,,Tnfsf8,Cd30L|CD153|CD30LG
CD38,,Cd38,Cd38-rs1
CD3,,Cd3e,CD3epsilon|CD3|T3e
CD3ε,CD3ε|CD3εchain|CD3|T3ε,Cd3e,CD3epsilon|CD3|T3e
CD49e,,Itga5,Cd49e|Fnra
CD66a,,Ceacam1,CD66a|Hv2|Bgp|Cc1|Cea-7|mCEA1|mmCGM2|Cea7|Bgp1|C-CAM|Cea1|MHVR1|Hv-2|mmCGM1|Cea-1|Mhv-1
CD90.2,Thy-1.2|q-C3H,Thy1,CD90|Thy-1.2|Thy1.2|Thy 1.2|Thy1.1|Thy-1|T25
CD94,,Klrd1,CD94
CD150,,Slamf1,CDw150|CD150|Slam|ESTM51|IPO-3
CD355,CRTAM,Crtam,class I-restricted T cell-associated molecule
MAIR-IV,MAIRIV,Cd300ld,Clm5|4732429D16Rik|Cd300ld1|MAIR-IV
CD300c,,Cd300c,Clm6
CD184,,Cxcr4,Cmkar4|fusin|PB-CKR|b2b220Clo|CD184|Sdf1r
CD196,CCR6|KY411|Cmkbr6|CC-CKR-6,Ccr6,Cmkbr6
Ly-49H,Ly49H,Klra8,Cmv1|Ly49h|Ly49u<129>|Cmv-1
Ly49H,,Klra8,Cmv1|Ly49h|Ly49u<129>|Cmv-1
CD132,,Il2rg,common cytokine receptor gamma chain|gamma(c)|CD132|gc|gammaC|[g]c|common gamma chain|gamma C receptor
CD11b,,Itgam,CR3|Mac-1 alpha|Mac-1|Mac-1a|CD11b/CD18|Cd11b|complement component receptor 3 alpha|CD11B  (p170)|complement receptor type 3|F730045J24Rik|Ly-40
CD55,,Cd55,Cromer blood group|Daf1|complement-glycosylphosphatidylinositol|GPI-DAF|Daf-GPI
NKG2D,,Klrk1,D6H12S2489E|Nkg2d|NKG2-D
GARP,,Lrrc32,D7H11S833E|D11S833Eh|Garp|EG434215
CD88,,C5ar1,D7Msu1|Cd88|C5aR|C5r1
CD205,,Ly75,DEC-205|CD205
DLL1,,Dll1,Delta1
DLL4,,Dll4,Delta4
PD-1H,PD1H,Vsir,Dies1|VISTA|4632428N05Rik|PD-1H
VISTA,,Vsir,Dies1|VISTA|4632428N05Rik|PD-1H
CD226,,Cd226,DNAM-1|Pta1|TLiSA1|DNAM1
CD49b,,Itga2,DX5|CD49B|alpha 2 subunit|VLA-2 receptor
CD324,E-Cadherin|Uvomorulin,Cdh1,E-cadherin|L-CAM|E-cad|uvomorulin|UM|Ecad
CD49a,,Itga1,E130012M19Rik|Vla1|CD49A
CD197,,Ccr7,Ebi1h|EBI1|Cmkbr7|CD197
CD73,,Nt5e,ecto-5'-nucleotidase|2210401F01Rik|Nt5|CD73
CD326,,Epcam,EpCAM|Tacstd1|TROP1|EpCAM1|gp40|Ep-CAM|EGP-2|Egp314|panepithelial glycoprotein 314|CD326|Ly74|GA733-2
CD36,,Cd36,FAT|Scarb3|fatty acid translocase
CD64,,Fcgr1,FcgammaRI|CD64
CD32,,Fcgr2b,FcgammaRIIB|FcgRII|F630109E10Rik|Ly-17|Fcgr2|Fc gamma RIIB|Fcgr2a|CD32|Ly-m20|Fcr-2|Fc[g]RII|LyM-1|Fcr-3
CD309,VEGFR2|Flk-1|KDR,Kdr,Flk1|VEGFR-2|vascular endothelial growth factor receptor- 2|Flk-1|VEGF receptor-2|orv|VEGFR2
CD135,,Flt3,Flt-3|Flk-2|CD135|wmfl|Flk2
CD115,,Csf1r,Fms|Fim2|CD115|CSF-1R|Fim-2|M-CSFR|Csfmr
Galectin-9,Galectin9,Lgals9,gal-9|LGALS35|Lgals5|galectin-9
CD357,TNFRSF18|Tumornecrosisfactorreceptorsuperfamily|member18|GITR,Tnfrsf18,Gitr
CD41,,Itga2b,GP IIb|CD41|platelet glycoprotein IIb|GpIIb|alphaIIb
CD130,,Il6st,gp130|D13Ertd699e|CD130|5133400A03Rik
CD85k,,Lilrb4a,Gp49b|Lilrb4|ILT3|HM18|CD85K
PIR-B,PIRB,Pirb,Gp91|Lilrb3
XCR1,,Xcr1,GPR5|XCR1|C motif-1/lymphotactin receptor|Ccxcr1
Ly-6G,Ly6G,Ly6g,Gr1|Gr-1|Ly-6G
Ly-6G,Ly6G,Ly6g,Gr1|Gr-1|Ly-6G
CD317,BST2,Bst2,GREG|2310015I10Rik|Bst-2|C87040
