Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type
C20orf24,human symbol,MGI:1914638,1110008F13Rik,RIKEN cDNA 1110008F13 gene,protein coding gene
MICA,synonym,MGI:1919025,1300017J02Rik,RIKEN cDNA 1300017J02 gene,protein coding gene
C19orf12,human symbol,MGI:1919494,1600014C10Rik,RIKEN cDNA 1600014C10 gene,protein coding gene
C11orf24,human symbol,MGI:1919306,1810055G02Rik,RIKEN cDNA 1810055G02 gene,protein coding gene
C10orf35,human symbol,MGI:1917144,2010107G23Rik,RIKEN cDNA 2010107G23 gene,protein coding gene
KIAA2013,human symbol,MGI:1924284,2510039O18Rik,RIKEN cDNA 2510039O18 gene,protein coding gene
C1orf210,human symbol,MGI:1913701,2610528J11Rik,RIKEN cDNA 2610528J11 gene,protein coding gene
C19orf18,human symbol,MGI:1920340,2900092C05Rik,RIKEN cDNA 2900092C05 gene,protein coding gene
UNQ830,human synonym,MGI:1920484,3110079O15Rik,RIKEN cDNA 3110079O15 gene,protein coding gene
C14orf37,human symbol,MGI:1914669,3632451O06Rik,RIKEN cDNA 3632451O06 gene,protein coding gene
C17orf74,human symbol,MGI:1918293,4933402P03Rik,RIKEN cDNA 4933402P03 gene,protein coding gene
KIAA1324,human symbol,MGI:1923930,5330417C22Rik,RIKEN cDNA 5330417C22 gene,protein coding gene
C4orf32,human symbol,MGI:1917867,5730508B09Rik,RIKEN cDNA 5730508B09 gene,protein coding gene
C3orf18,human symbol,MGI:2445137,6430571L13Rik,RIKEN cDNA 6430571L13 gene,protein coding gene
C10orf76,human symbol,MGI:1918867,9130011E15Rik,RIKEN cDNA 9130011E15 gene,protein coding gene
KIAA1324L,human symbol,MGI:2443264,9330182L06Rik,RIKEN cDNA 9330182L06 gene,protein coding gene
C5orf15,human symbol,MGI:2654705,9530068E07Rik,RIKEN cDNA 9530068E07 gene,protein coding gene
C14orf180,human symbol,MGI:2443020,A530016L24Rik,RIKEN cDNA A530016L24 gene,protein coding gene
GPR141,cattle symbol,MGI:2441809,A530099J19Rik,RIKEN cDNA A530099J19 gene,protein coding gene
